"source_link","country","company_name","location","company_information","telephone","fax","email","website","company_profile","capabilities_description","post_casting"
"https://www.diecasting.org/web/Directories/Find_a_Die_Caster/Web/Resources/Directories/CompanySearch.aspx","Brazil","STIHL Ferramentas Motorizadas Ltda.","São Leopoldo,","","","","","","","",""
"https://www.diecasting.org/web/Directories/Find_a_Die_Caster/Web/Resources/Directories/CompanySearch.aspx","British Indian Ocean Territory","STIHL Ferramentas Motorizadas Ltda.","São Leopoldo,","","","","","","","",""
"https://www.diecasting.org/web/Directories/Find_a_Die_Caster/Web/Resources/Directories/CompanySearch.aspx","Canada","Accurcast Inc.","Wallaceburg, ON","","","","","","","",""
"https://www.diecasting.org/web/Directories/Find_a_Die_Caster/Web/Resources/Directories/CompanySearch.aspx","Canada","AMT Die Casting","St-Cyprien, QC","","","","","","","",""
"https://www.diecasting.org/web/Directories/Find_a_Die_Caster/Web/Resources/Directories/CompanySearch.aspx","Canada","Anchor Danly","Windsor, ON","","","","","","","",""
"https://www.diecasting.org/web/Directories/Find_a_Die_Caster/Web/Resources/Directories/CompanySearch.aspx","Canada","Armada Toolworks Limited","Lindsay, ON","","","","","","","",""
"https://www.diecasting.org/web/Directories/Find_a_Die_Caster/Web/Resources/Directories/CompanySearch.aspx","Canada","Canadian Buttons Ltd. C/o Hangerlogic","Montreal, QC","","","","","","","",""
"https://www.diecasting.org/web/Directories/Find_a_Die_Caster/Web/Resources/Directories/CompanySearch.aspx","Canada","* Canimex Inc.","Drummondville, QC","Company:Canimex Inc.
Address:285 St-Georges  
Drummondville, QC J2C 4H3  
CANADA","(819) 477-1335","(819) 477-0776","torqueforce@canimex.com","www.canimex.com","Number of Employees:101-500
Type of Operation:Captive/Custom
Certification:IATF 16949,ISO 9001
Low Volume:False","Description:6 aluminum die-casting machines (800 to 1400 tons). Automated machining capability with vision systems. Capability of complete turn-key project delivery. In-house tool design including simulation.","Machining:Drilling,Tapping,Unknown
Finishing:Assembly,Deburring,Shot blasting,X-ray Inspection"
"https://www.diecasting.org/web/Directories/Find_a_Die_Caster/Web/Resources/Directories/CompanySearch.aspx","Canada","Capitol Industries Inc","Montreal, QC","","","","","","","",""
"https://www.diecasting.org/web/Directories/Find_a_Die_Caster/Web/Resources/Directories/CompanySearch.aspx","Canada","Carpenter Die Casting Company Limited","Stoney Creek, ON","","","","","","","",""
"https://www.diecasting.org/web/Directories/Find_a_Die_Caster/Web/Resources/Directories/CompanySearch.aspx","Canada","* CMP Group Ltd.","Delta, BC","Company:CMP Group Ltd.
Address:7733 Progress Way  
Delta, BC V4G 1A3  
CANADA","(604) 940-2010","(604) 952-2650","sales@cmpgroup.net","cmpgroup.net","Number of Employees:50-100
Sales Volume:Under $10 Million
Type of Operation:Custom
Certification:ISO 9001:2008
Low Volume:True","Description:Specialize in low volume, exotic alloy casting. Capabilities include Pb diecasting; Foundry to accommodate
unlimited alloy composition; Extensive CNC resources; Hydraulic assembly and testing.","Machining:CNC,Tapping,Turning"
"https://www.diecasting.org/web/Directories/Find_a_Die_Caster/Web/Resources/Directories/CompanySearch.aspx","Canada","Cobra Anchors","Montreal, QC","","","","","","","",""
"https://www.diecasting.org/web/Directories/Find_a_Die_Caster/Web/Resources/Directories/CompanySearch.aspx","Canada","Dero Enterprises Incorporated","Montreal North, QC","","","","","","","",""
"https://www.diecasting.org/web/Directories/Find_a_Die_Caster/Web/Resources/Directories/CompanySearch.aspx","Canada","* Dynacast Limited","Peterborough, ON","","","","","","","",""
"https://www.diecasting.org/web/Directories/Find_a_Die_Caster/Web/Resources/Directories/CompanySearch.aspx","Canada","Dynatool Industries Inc.","Montréal, QC","","","","","","","",""
"https://www.diecasting.org/web/Directories/Find_a_Die_Caster/Web/Resources/Directories/CompanySearch.aspx","Canada","* FCA Canada Inc. - Etobicoke Casting Plant","Toronto, ON","Company:FCA Canada Inc. - Etobicoke Casting Plant
Address:15 Browns Line  
Toronto, ON M8W 3S3  
CANADA","(416) 253-2300","(413) 253-2357","john.mchugh@stellantis.com","www.fcagroup.com","Sales Volume:Over $40 Million
Type of Operation:Captive
Certification:ISO 9001
Low Volume:False","",""
"https://www.diecasting.org/web/Directories/Find_a_Die_Caster/Web/Resources/Directories/CompanySearch.aspx","Canada","Fonderie Lemoltech Incorporated","Princeville, QC","","","","","","","",""
"https://www.diecasting.org/web/Directories/Find_a_Die_Caster/Web/Resources/Directories/CompanySearch.aspx","Canada","* Gnutti Carlo Canada Ltd. Light Metals Division (Ljunghall Canada)","Huron Park, ON","Company:Gnutti Carlo Canada Ltd.
Light Metals Division (Ljunghall Canada)
Address:360 Canada Avenue  
Huron Park, ON N0M 1Y0  
CANADA","(519) 228-6686","","ian.beadle@ljunghall.com","gnutticarlo.com","Low Volume:False","",""
"https://www.diecasting.org/web/Directories/Find_a_Die_Caster/Web/Resources/Directories/CompanySearch.aspx","Canada","Groupe PMF Inc.","Richmond, QC","","","","","","","",""
"https://www.diecasting.org/web/Directories/Find_a_Die_Caster/Web/Resources/Directories/CompanySearch.aspx","Canada","Gulan Die Casting Limited","Mississauga, ON","","","","","","","",""
"https://www.diecasting.org/web/Directories/Find_a_Die_Caster/Web/Resources/Directories/CompanySearch.aspx","Canada","* Honda of Canada Mfg Inc - Engine Plant: ALDC","Alliston, ON","Company:Honda of Canada Mfg Inc - Engine Plant: ALDC
Address:4700 Tottenham Rd  
Alliston, ON L9R 1A2  
CANADA","(705) 435-5561","","aboo_wadee@hcm.honda.com","www.honda.ca","Low Volume:False","",""
"https://www.diecasting.org/web/Directories/Find_a_Die_Caster/Web/Resources/Directories/CompanySearch.aspx","Canada","Ideal Security Inc","LaSalle, QC","","","","","","","",""
"https://www.diecasting.org/web/Directories/Find_a_Die_Caster/Web/Resources/Directories/CompanySearch.aspx","Canada","J & K Die Casting Limited","Scarborough, ON","","","","","","","",""
