"source_link","product_name","brand","model","year","category","location","machine_overview_specs","machine_overview_options","machine_overview_description"
"https://cncmachines.com/cnc-machine-brands","2025LAZZATIHB 2M BLUETECH 4.0","LAZZATI","HB 2M BLUETECH 4.0","2025","Boring Mill","USA","Automatic Universal Milling Head 1°x1°  
Column X Axis Travel: 315""  
Headstock Y Axis Travel: 90.55""  
Ram Z Axis Travel: 47.25""  
Spindle Speed: 3,000 RPM  
Spindle Motor: 75 HP  
Tool Changer: 50 ATC  
Spindle Taper: 50 CT Big Plus  
Dimensions:  
lenght=600""  
depth=400""  
height=200""  
Weight: 60,000LBS  
Optional Rotary Travelling Table 30ton  
W Axis Travel: 98.40""  
B Axis Deg: 360,000 Degree  
Max Load 66,000lbs  
Table Size: B=78.74""x78.74""  
machine has 0 hours!  
sold with new serial number with 1 year warranty.  
Since we have upgraded them substantially with new CNC and latest safety norms, we are obliged to sell with new CE norm 2025.  
They are pre-owned but revamped as new, so they can be considered like a new machine in the market.","Heidenhain 640  
Probe  
Chip Conveyor  
Coolant Thru Spindle  
Programmable Coolant  
360,000 Full 4th  
Floor Type  
Automatic Tool Changer 50tools  
Automatic Universal Head 1°x1°  
On request Rotary Travelling Table 30ton W Axis Travel: 98.40"" B Axis Deg: 360,000 Degree Max Load 66,000lbs Table Size: B=78.74""x78.74""","This 2025 LAZZATI HB 2M BLUETECH 4.0 Boring Mill combines advanced technology with practical features, making it an asset for any heavy-duty machining work.
Equipped with a Heidenhain 640 CNC Control, this boring mill offers enhanced precision and ease of use. The machine includes several options and upgrades, such as a probe and chip conveyor. These additions simplify operations and help maintain a clean working area.
The coolant thru spindle and programmable coolant feature ensure that the tool and workpiece remain at an optimal temperature during machining. This feature reduces the risk of overheating and allows for increased efficiency in operations.
With a full 360,000-degree 4th axis, the boring mill gives operators the flexibility needed for intricate machining tasks. Its floor-type design provides stability, and the automatic tool changer with a capacity of 50 tools makes changing between tasks smooth and hassle-free. The automatic universal head offers 1°x1° movement, providing additional versatility.
A notable feature is the optional rotary travelling table, which can be provided on request, offering a 30-ton W axis travel. This is particularly useful for machining large and heavy components. The table size of 78.74""x78.74"" and a maximum load capacity of 66,000lbs make this machine suitable for heavy machining tasks.
Built for demanding environments, this boring mill is an ideal option for businesses looking to expand their machining capabilities. Its configuration is designed to handle varied tasks, providing both flexibility and capability for a range of applications."
"https://cncmachines.com/cnc-machine-brands","2025LAZZATIHB130T BLUETECH 4.0","LAZZATI","HB130T BLUETECH 4.0","2025","Boring Mill","USA","X Axis Travel: 155.5""  
Y Axis Travel: 78.74""  
Z Axis Travel: 7086""  
W Axis Travel: 31.5""  
B Axis Deg: 360.000  
Table Size: 59""x78""mm  
Spindle Speed: 3.375RPM  
Spindle Motor: 71HP  
Spindle Taper: ISO50 CT50  
Tool Changer: on request 60tools  
Dimensions:  
lenght=315""  
depth=285""  
height=200""  
Weight: 70,000LBS  
machine has 0 hours!  
sold with new serial number with 1 year warranty.  
Since we have upgraded them substantially with new CNC and latest safety norms, we are obliged to sell with new CE norm 2025.  
They are pre-owned but revamped as new, so they can be considered like a new machine in the market.","Heidenhain 640  
Chip Conveyor  
Coolant Thru Spindle  
Programmable Coolant  
360,000 Full 4th  
Table Type  
Spindle Support  
Automatic Universal Head 1°x1°  
FULLY REVAMPED MACHINE BY ORIGINAL MANUFACTURER  
12 months warranty from manufacturer","Pre-owned LAZZATI HB130T BLUETECH 4.0 2025 [Boring Mill](/boring-mill/l). This Boring Mill has 0-500 cutting time and is equipped with a Heidenhain 640 control. This CNC Machine is currently located in USA. This LAZZATI Boring Mill is available for a limited time. Get a quote today on this
HB130T BLUETECH 4.0
before it's gone."
"https://cncmachines.com/cnc-machine-brands","2025ARBURG270C400100","ARBURG","270C400100","2025","Injection Molding","USA","Model - 270C-400-100 U (270C 400-100 U)  
Selling an Arburg Injection Molding Machine to process various thermoplastic materials. Ideal for producing a wide range of high quality plastic components. Good and working condition. Please message me if you have any questions. OBO  
Details:  
 Clamp tonnage……………………44 tons US  
 Distance between tie bars…….…...10.63 x 10.63”  
 Platensize……………………….…17.56 x 17.56”  
 Clampstroke……………………….13.78”  
 Mold thickness – Min…………….. 7.87”  
 Max. daylight………………………21.65”  
 Shot size……………………………2.08 oz.  
 Ejector stroke………………………4.92”  
 Weight, approx…………………..…4,400 lbs.  
 Dimensions, approx………….…….134” x 56” x 78”H (in horiz mode)  
Please Note: This is located in Stafford, TX. For local pickup or the means you can transport.","","Pre-owned ARBURG 270C400100 2025 [Injection Molding](/injection-molding/l). This Injection Molding has average cutting time and is equipped with a CNC control. This CNC Machine is currently located in USA. This ARBURG Injection Molding is available for a limited time. Get a quote today on this
270C400100
before it's gone."
"https://cncmachines.com/cnc-machine-brands","2024HYPERUSAG3500","HYPERUSA","G3500","2024","Welder","Arizona","This is a high-quality 6-axis robot welder system, designed for industrial welding applications, featuring a 500A Megmeet welder and dual turntables. It’s ideal for precision welding in automotive, agricultural, and other manufacturing sectors.  
System Specifications  
Robot Arm:  
6 axes of movement  
Arm length: 2000mm (78.74 inches, 6.56 feet)  
Payload: 6kg (13.23 lbs)  
Repeatability: ±0.08mm  
Max speed: Up to 500º/s (depending on joint)  
Weight: 280kg (617.3 lbs)  
Installation: Ground or hoisting  
Environment: 0-45?, 20-80%RH  
Welding System:  
Megmeet Artsen Plus 500P/Q (500A) MIG/MAG welder  
Supports advanced processes like Tranquil Fusion, Thunder Fusion  
Duty cycle: 500A @ 100%  
Input voltage: Selectable (380V, 480V, or 240V, 3-phase)  
Water-cooled for continuous operation  
Additional Features:  
Two 1-axis turntables:  
Dimensions: 1800mm x 1143mm (70.87"" x 45.00"", 5.90 feet x 3.75 feet)  
Payload: 500kg (1102.31 lbs, 0.551 tons) each  
Cut, spray, and clean pedestal for comprehensive setup  
Light shields included for the turntables","Megmeet Artsen Plus 500P/Q Welder (500A)  
Two 1-Axis Turntables  
6 Axes of Movement","This 2024 HYPERUSA G3500 Welder is a top-tier choice for those seeking advanced welding capabilities. A standout feature of this model is the inclusion of the Megmeet Artsen Plus 500P/Q Welder, which offers a robust 500A for heavy-duty tasks. This setup enhances your welding projects by adding precision and control.
The unit comes equipped with two 1-axis turntables that allow for smooth and precise rotations. This is key for ensuring accurate welds, especially when working with complex parts or shapes. The capacity to rotate workpieces at varied angles provides you greater flexibility in handling different tasks and materials.
With 6 axes of movement, this welder offers substantial versatility. The broad range of movements ensures you can tackle a wide array of welding jobs with ease. This feature is especially useful for intricate welding tasks that require maneuvering around challenging angles or curves with minimal repositioning.
This model is a used unit, but it retains a high standard of performance. It's a suitable choice for workshops or individuals that need a reliable tool for demanding projects. Whether you’re dealing with simple or complex welding jobs, this HYPERUSA G3500 can accommodate most requirements effectively.
Overall, the 2024 HYPERUSA G3500 Welder is a valuable asset for those in the welding field. Its advanced features ensure it can handle both everyday tasks and more challenging projects with precision and ease. Consider this welder if you are in need of a solution that offers great functionality without compromising on advanced features."
"https://cncmachines.com/cnc-machine-brands","2024HAASUMC1000","HAAS","UMC1000","2024","Vertical Machining Center","USA","X Axis Travel: 40""  
Y Axis Travel: 25""  
Z Axis Travel: 25""  
B Axis Travel: 120 - 35Deg  
C Axis Travel: 360Deg  
Spindle Nose to Table: 4""-29""  
Rapid Rate X Axis: 900 IPM  
Rapid Rate Y Axis: 900 IPM  
Rapid Rate Z Axis: 900 IPM  
Max Table Load: 1,000 LBS  
Spindle Motor: 30 HP  
Spindle Speed: 15,000 RPM  
Spindle Taper: 40  
Tool Changer: 30 ATC  
Max Cutting: 650IPM  
Max Tool Diameter: 2.5""  
Max Tool Diameter: 5""  
Max Tool Length: 12""  
Max Tool Weight: 12 lbs  
Tool-to-Tool (avg): 2.8 sec  
Chip-to-Chip (avg): 3.6 sec","Haas Next Gen CNC Control  
5 Axis","This 2024 HAAS UMC1000 is a highly sought-after 5-axis machining solution. Ideal for those in need of precise and advanced technology, it showcases the latest in machining capabilities.
Equipped with a 15"" color monitor, the machine also offers a substantial 64 GB memory, complemented by 8 spare M functions for enhanced operational flexibility. The UMC1000 provides impressive travel dimensions of 40"" x 25"" x 25"", allowing for a range of machining tasks.
The machine features a high-performance 15,000 RPM, HSK A63 spindle paired with a side mount 50 ATC for efficient tool handling. The inclusion of a wireless intuitive probing system simplifies setup and measurement, while support for macros, spindle orientation, COOR, and VPS adds versatility to programming.
Advanced cooling and cleaning features are built in, such as the 1000 PSI through-spindle coolant, auxiliary coolant filter, and through-tool air blast, ensuring smooth operation and reduced manual intervention. A programmable coolant nozzle further aids in effective chip management alongside high-speed machining capabilities and high-pressure flood coolant.
The CNC cabinet cooler, coupled with broken tool detection, enhances operational safeguards and tool longevity. Dynamic work offsets and tool center point control offer further precision in complex jobs, while rigid tapping ensures dependable threading tasks.
The machine is equipped with a chip-disk filtration chip conveyor, and a 95-gallon coolant tank upgrade, enhancing overall maintenance efficiency. Despite its extensive features, this machine remains unused in any manufacturing setting.
With a starting price of $305,000.00 when fully equipped, this HAAS UMC1000 represents excellent potential value. For complete verification, financial assistance, or inspection, please contact Rockfish Machinery. While locations for this machine vary, Rockfish Machinery can provide precise details upon request."
"https://cncmachines.com/cnc-machine-brands","2024HAASTL2","HAAS","TL2","2024","CNC Lathe","Texas","Bar Capacity: 3.5""  
Chuck Size: 12""  
Spindle Speed: 1,800 RPM  
Spindle Motor: 10 HP  
X Axis Travel: 8""  
Z Axis Travel: 48""  
Rapid Rate Z Axis: 450 IPM  
Turret Tools: 1 Station  
Rapid Rate X Axis: 450 IPM  
Max Turning Dia: 16""  
Max Turning Length: 48""  
Max Swing: 16""  
Spindle Nose A2-5  
Max Torque 108 ft-lbf @ 355 rpm  
Weight: 4,480 LBS","Haas Next Gen CNC Control  
Tailstock  
6-Piece, 2-Station Tool Post  
12"" Chuck  
Manual Tailstock  
MT4 manual quill  
Manual Steadyrest  
Electronic Hand wheels  
A2-6 Spindle Nose","Pre-owned HAAS TL2 2024 [CNC Lathe](https://cncmachines.com/cnc-lathe/l). This CNC Lathe has average cutting time and is equipped with a Haas Next Gen CNC Control control. This CNC Machine is currently located in Texas. This HAAS CNC Lathe is available for a limited time. Get a quote today on this
TL2
before it's gone."
"https://cncmachines.com/cnc-machine-brands","2024BROTHERHS70A","BROTHER","HS70A","2024","EDM","USA","4 Brother Wire EDM Machines to support a WEDM Business.  
Tooling Supplied.  
Run your own WEDM Business!","","This 2024 BROTHER HS70A offers a unique opportunity for entrepreneurs looking to dive into the WEDM industry. This machine is part of a set that includes four Brother Wire EDM Machines, providing everything you need to kickstart your own WEDM business.
Each Brother HS70A is designed to support high-quality wire EDM work, making it an essential tool for precision manufacturing tasks. The machines are known for their capacity to handle detailed cuts and complex shapes, ensuring you can meet a variety of project needs.
The package includes tooling supplies, so you're fully equipped from the start. This comprehensive set-up means you can begin operations immediately, without the need for additional investments in tooling or setup materials.
The 2024 BROTHER HS70A is ideal for those with an entrepreneurial mindset who wish to establish a footprint in the wire EDM sector. With these machines, you gain the capability and confidence to manage intricate projects and deliver high-quality results to your clients.
Take this opportunity to control your business future by purchasing this fully equipped WEDM setup. Transform your workshop into a center of precision and take on projects that were previously out of reach."
"https://cncmachines.com/cnc-machine-brands","2024SMARTSCOPEFLASH302","SMARTSCOPE","FLASH302","2024","Inspection","Virginia","X Axis Travel: 11.8""  
Y Axis Travel: 11.8""  
Z Axis Travel: 9.8""  
3D Multisensor Measurement System   
Multisensor Coordinate Measuring System","Zone3 Prime and Prime SSA  
Scanning Probe Adapter  
SP25 Scanning Probe   
3-Station Change Rack  
TLT laser Package   
MTR Rotary Table  
MTR Rotary Accessory Kit   
Monitor/Keyboard/Mouse Included","This 2024 SMARTSCOPE FLASH302 Inspection brings a high level of sophistication and precision to your measurement tasks.
Options and upgrades included in this system encompass Zone3 Prime and Prime SSA. These features enhance the system's capabilities, making it adaptable for a variety of precise inspection needs. The Scanning Probe Adapter and SP25 Scanning Probe further expand the system's versatility, allowing for detailed and comprehensive measurement processes.
The inclusion of a 3-Station Change Rack offers seamless transitioning between different tools, enabling more efficient use of the system's capabilities. The TLT laser package integrated within this system provides additional options for non-contact measurement, which is ideal for sensitive or soft materials.
Furthermore, the MTR Rotary Table and the accompanying MTR Rotary Accessory Kit enhance the system's functionality, enabling it to perform rotational inspections with ease. This feature is especially useful for inspecting cylindrical or symmetrical parts.
The system also comes equipped with a Monitor, Keyboard, and Mouse, making it ready for immediate integration into your workflow without needing additional peripherals.
With X, Y, and Z axis travel of 11.8"", 11.8"", and 9.8"" respectively, the SMARTSCOPE FLASH302 offers significant coverage for various measurement tasks. It operates as a 3D Multisensor Measurement System, providing the flexibility to utilize multiple measurement methods in one cohesive system.
The Multisensor Coordinate Measuring System inherent in this device ensures that you have access to advanced and comprehensive measurement capabilities, catering to both contact and non-contact measurement requirements.
This product represents a considerable investment in quality inspection technology, aiding in the precise assessment and quality control of your products."
"https://cncmachines.com/cnc-machine-brands","2024FADALVMC4525","FADAL","VMC4525","2024","Vertical Machining Center","California","Y Axis Travel: 25""  
X Axis Travel: 45""  
Z Axis Travel: 24""  
Spindle Motor: 22.5 HP  
Spindle Speed: 10,000 RPM  
Spindle Taper: 40  
Tool Changer: 24 ATC  
Rapid Rate X Axis: 900 IPM  
Rapid Rate Y Axis: 900 IPM  
Table Size: 53"" x 25""  
Dimensions: 131"" x 102"" x 98""","Multi Processor CNC Control  
Rebuilt in 2024","This 2024 FADAL VMC4525 Vertical Machining Center is a newly rebuilt unit, featuring a Multi Processor CNC Control system. This advanced control interface ensures precise and smooth operations, accommodating a wide range of machining tasks that meet industry standards.
With its recent overhaul in 2024, this machining center is equipped with up-to-date components, maximizing its function for various applications. The rebuilding process has ensured the machine is up-to-date with current technologies, enhancing its capabilities while retaining user-friendly features.
This FADAL VMC4525 is ideal for users looking to increase their productivity on the shop floor. The machine is designed to handle complex processes with ease, providing the user with agility and a broad scope of opportunities for innovative machining solutions. The reinforced construction of the machine delivers stability even during demanding operations.
The flexibility of the Multi Processor CNC Control helps operators program the machine for diverse tasks, making it a versatile option for both beginners and seasoned professionals alike. The interface is intuitive, simplifying the process of setting up new jobs and managing workflow effectively.
Options and upgrades incorporated into the machine as a result of the 2024 rebuild further extend the machine's service life. These updates are intended to provide a seamless user experience, addressing common industry demands and ensuring that the machine remains competitive and highly operable for years to come.
This FADAL VMC4525 Vertical Machining Center fulfills a variety of production needs. It stands as a strong choice for businesses looking to boost their machining capabilities with a machine that's been recently revitalized to meet current industry demands."
"https://cncmachines.com/cnc-machine-brands","","","","","","","","",""
